,time_period,rainfall,mean_temperature,disease_cases,population,location
186,2016-07,0.0,26.024824142456048,5.0,201599.0,11003
187,2016-08,0.0,26.68512058258055,4.0,201599.0,11003
188,2016-09,0.0,26.244386672973647,10.0,201599.0,11003
189,2016-10,0.0,28.07951164245605,8.0,201599.0,11003
190,2016-11,0.0,26.5359687805176,141.0,201599.0,11003
191,2016-12,0.0,26.38999938964845,241.0,201599.0,11003
192,2017-01,0.0,26.1779661178589,141.0,204494.0,11003
193,2017-02,0.0,26.311408996582053,39.0,204494.0,11003
194,2017-03,0.0,25.864315032959,40.0,204494.0,11003
195,2017-04,0.0,26.52721786499025,10.0,204494.0,11003
196,2017-05,0.0,26.122575759887702,18.0,204494.0,11003
197,2017-06,0.0,25.517002105712898,8.0,204494.0,11003
198,2017-07,0.0,25.6178674697876,5.0,204494.0,11003
199,2017-08,0.0,26.80893230438236,7.0,204494.0,11003
200,2017-09,0.0,27.3335475921631,3.0,204494.0,11003
201,2017-10,0.0,27.5190839767456,2.0,204494.0,11003
202,2017-11,0.0,26.7176322937012,7.0,204494.0,11003
203,2017-12,0.0,26.1871919631958,39.0,204494.0,11003
204,2018-01,0.0,25.8218250274658,9.0,202900.0,11003
205,2018-02,0.0,26.26058292388915,3.0,202900.0,11003
206,2018-03,0.0,25.871542930603,2.0,202900.0,11003
207,2018-04,0.0,26.7732009887695,7.0,202900.0,11003
208,2018-05,0.0,26.00732421875,3.0,202900.0,11003
209,2018-06,0.0,24.23982524871825,1.0,202900.0,11003
210,2018-07,0.0,25.51904582977295,0.0,202900.0,11003
211,2018-08,0.0,24.93208980560305,3.0,202900.0,11003
212,2018-09,0.0,27.3728437423706,0.0,202900.0,11003
213,2018-10,0.0,27.5425500869751,2.0,202900.0,11003
214,2018-11,0.0,26.55075168609615,3.0,202900.0,11003
215,2018-12,0.0,25.92469024658205,2.0,202900.0,11003
216,2019-01,0.0,26.0622100830078,3.0,206332.0,11003
217,2019-02,0.0,26.4319543838501,1.0,206332.0,11003
218,2019-03,0.0,26.128306388855,5.0,206332.0,11003
219,2019-04,0.0,27.00158882141115,6.0,206332.0,11003
220,2019-05,0.0,25.76780796051025,5.0,206332.0,11003
221,2019-06,0.0,25.922354698181152,4.0,206332.0,11003
222,2019-07,0.0,25.66337776184085,3.0,206332.0,11003
223,2019-08,0.0,25.98791122436525,0.0,206332.0,11003
0,2001-01,0.0,25.341459274292,93.0,306896.0,11004
1,2001-02,0.0,25.7854928970337,70.0,306896.0,11004
2,2001-03,0.0,25.36781978607175,30.0,306896.0,11004
3,2001-04,0.0,26.1536054611206,5.0,306896.0,11004
4,2001-05,0.0,24.59821891784665,11.0,306896.0,11004
5,2001-06,0.0,23.5267038345337,0.0,306896.0,11004
6,2001-07,0.0,25.08260059356689,1.0,306896.0,11004
7,2001-08,0.0,26.537760734558148,3.0,306896.0,11004
8,2001-09,0.0,26.63129329681395,1.0,306896.0,11004
9,2001-10,0.0,27.5021858215332,4.0,306896.0,11004
10,2001-11,0.0,26.3674716949463,29.0,306896.0,11004
11,2001-12,0.0,25.4686336517334,18.0,306896.0,11004
12,2002-01,0.0,26.1777095794678,63.0,310569.0,11004
13,2002-02,0.0,25.6113634109497,81.0,310569.0,11004
14,2002-03,0.0,25.8079242706299,55.0,310569.0,11004
15,2002-04,0.0,26.340401649475147,24.0,310569.0,11004
16,2002-05,0.0,25.7237968444824,35.0,310569.0,11004
17,2002-06,0.0,24.00374412536625,4.0,310569.0,11004
18,2002-07,0.0,24.910813331604,6.0,310569.0,11004
19,2002-08,0.0,26.30148983001705,3.0,310569.0,11004
20,2002-09,0.0,26.4755563735962,12.0,310569.0,11004
21,2002-10,0.0,27.7312049865723,15.0,310569.0,11004
22,2002-11,0.0,26.48548221588135,73.0,310569.0,11004
23,2002-12,0.0,25.8873167037964,68.0,310569.0,11004
24,2003-01,0.0,26.1218204498291,89.0,313536.0,11004
25,2003-02,0.0,25.6548080444336,46.0,313536.0,11004
26,2003-03,0.0,25.508440971374547,42.0,313536.0,11004
27,2003-04,0.0,25.9055624008179,22.0,313536.0,11004
28,2003-05,0.0,25.59256839752195,12.0,313536.0,11004
29,2003-06,0.0,25.44811820983885,3.0,313536.0,11004
